Source,Target,Type,TimeInterval,Label,Category
1667,1527,directed,"<[2000, 2002)>",770,1.0
868,1295,directed,"<[2000, 2002)>",771,5.0
868,3376,directed,"<[2000, 2002)>",772,5.0
868,1527,directed,"<[2000, 2002)>",773,5.0
1667,1297,directed,"<[2000, 2002)>",774,1.0
1667,324,directed,"<[2000, 2002)>",775,1.0
868,1297,directed,"<[2000, 2002)>",776,5.0
868,324,directed,"<[2000, 2002)>",777,5.0
2333,194,directed,"<[2000, 2002)>",810,1.0
1417,2569,directed,"<[2000, 2002)>",811,1.0
1417,72,directed,"<[2000, 2002)>",812,1.0
1417,3463,directed,"<[2000, 2002)>",813,1.0
868,3376,directed,"<[2000, 2002)>",814,5.0
868,1527,directed,"<[2000, 2002)>",815,5.0
868,1295,directed,"<[2000, 2002)>",816,5.0
1667,3376,directed,"<[2000, 2002)>",817,1.0
1667,1527,directed,"<[2000, 2002)>",818,1.0
1667,1295,directed,"<[2000, 2002)>",819,1.0
1234,615,directed,"<[2002, 2004)>",852,1.0
1234,2573,directed,"<[2002, 2004)>",854,1.0
1234,2573,directed,"<[2002, 2004)>",856,1.0
3406,3395,directed,"<[2002, 2004)>",857,1.0
3406,1124,directed,"<[2002, 2004)>",858,1.0
1654,844,directed,"<[2002, 2004)>",860,5.0
1654,2581,directed,"<[2002, 2004)>",861,5.0
2333,1555,directed,"<[2002, 2004)>",863,1.0
2333,2040,directed,"<[2002, 2004)>",864,1.0
2333,1608,directed,"<[2002, 2004)>",865,1.0
2333,435,directed,"<[2002, 2004)>",866,1.0
2333,2227,directed,"<[2002, 2004)>",867,1.0
2333,1609,directed,"<[2002, 2004)>",869,1.0
2333,2171,directed,"<[2002, 2004)>",871,1.0
2333,1105,directed,"<[2002, 2004)>",872,1.0
2333,3099,directed,"<[2002, 2004)>",873,1.0
2883,2575,directed,"<[2004, 2006)>",880,1.0
2192,1993,directed,"<[2004, 2006)>",881,1.0
2333,768,directed,"<[2004, 2006)>",882,1.0
2333,3448,directed,"<[2004, 2006)>",883,1.0
2333,2966,directed,"<[2004, 2006)>",884,1.0
2333,1552,directed,"<[2004, 2006)>",885,1.0
2333,1124,directed,"<[2004, 2006)>",886,1.0
2333,3435,directed,"<[2004, 2006)>",887,1.0
2333,2955,directed,"<[2004, 2006)>",888,1.0
2333,2121,directed,"<[2004, 2006)>",890,1.0
2333,2609,directed,"<[2004, 2006)>",891,1.0
3140,194,directed,"<[2004, 2006)>",897,1.0
3140,2043,directed,"<[2004, 2006)>",898,1.0
3140,2853,directed,"<[2004, 2006)>",901,1.0
1234,3395,directed,"<[2004, 2006)>",904,1.0
1234,15,directed,"<[2004, 2006)>",907,1.0
3406,3395,directed,"<[2004, 2006)>",908,1.0
3406,15,directed,"<[2004, 2006)>",911,1.0
2267,2986,directed,"<[2006, 2008)>",914,5.0
2267,1190,directed,"<[2006, 2008)>",915,5.0
1234,3395,directed,"<[2006, 2008)>",918,1.0
1234,15,directed,"<[2006, 2008)>",921,1.0
2267,1730,directed,"<[2006, 2008)>",922,5.0
2267,1594,directed,"<[2006, 2008)>",923,5.0
2267,312,directed,"<[2006, 2008)>",924,5.0
2333,1124,directed,"<[2006, 2008)>",925,1.0
2333,1319,directed,"<[2006, 2008)>",927,1.0
2333,3395,directed,"<[2006, 2008)>",930,1.0
2333,900,directed,"<[2006, 2008)>",931,1.0
2333,1979,directed,"<[2006, 2008)>",933,1.0
2333,1799,directed,"<[2006, 2008)>",934,1.0
2333,2345,directed,"<[2006, 2008)>",935,1.0
2333,557,directed,"<[2006, 2008)>",936,1.0
2333,2058,directed,"<[2006, 2008)>",937,1.0
2333,3330,directed,"<[2006, 2008)>",938,1.0
2333,2200,directed,"<[2006, 2008)>",940,1.0
2333,1494,directed,"<[2006, 2008)>",941,1.0
2333,69,directed,"<[2006, 2008)>",942,1.0
2333,2658,directed,"<[2006, 2008)>",943,1.0
2333,2455,directed,"<[2006, 2008)>",944,1.0
2333,2320,directed,"<[2006, 2008)>",945,1.0
2333,2609,directed,"<[2006, 2008)>",946,1.0
2333,2597,directed,"<[2006, 2008)>",947,1.0
2333,1180,directed,"<[2006, 2008)>",948,1.0
2333,2047,directed,"<[2006, 2008)>",949,1.0
2333,3092,directed,"<[2006, 2008)>",950,1.0
2333,2261,directed,"<[2006, 2008)>",953,1.0
2333,3463,directed,"<[2006, 2008)>",954,1.0
2333,1555,directed,"<[2006, 2008)>",958,1.0
2333,3448,directed,"<[2006, 2008)>",960,1.0
2333,2347,directed,"<[2006, 2008)>",961,1.0
2333,1624,directed,"<[2006, 2008)>",963,1.0
210,1364,directed,"<[2006, 2008)>",964,1.0
210,2964,directed,"<[2006, 2008)>",966,1.0
1236,353,directed,"<[2006, 2008)>",967,1.0
1533,353,directed,"<[2006, 2008)>",968,1.0
